,year,country_of_production,coffee_bean,water_shortage_index,department,municipality_of_export,exporter,exporter_group,importer,importer_group,country_of_destination,economic_bloc,volume,fob,department_trase_id
1913,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,ALTAMIRA SUPREMO S A S,ALTAMIRA SUPREMO S A S,BLASER TRADING AG,BLASER TRADING AG,NETHERLANDS,EUROPEAN UNION,38.5,231426.41,CO-00
1914,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,FEDERACION NACIONAL DE CAFETEROS DE COLOMBIA,FEDERACION NACIONAL DE CAFETEROS DE COLOMBIA,UCC COFFEE TRADING PTE LTD,UCC COFFEE TRADING PTE LTD,JAPAN,JAPAN,38.5,348040.0,CO-00
1915,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,FEDERACION NACIONAL DE CAFETEROS DE COLOMBIA,FEDERACION NACIONAL DE CAFETEROS DE COLOMBIA,A LA ORDEN,A LA ORDEN,FINLAND,EUROPEAN UNION,38.5,320967.5,CO-00
1916,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,LOUIS DREYFUS CIA COL S A S,LOUIS DREYFUS,MITSUI AND CO LTD COFFEE DEPARTMENT,MITSUI AND CO LTD COFFEE DEPARTMENT,UNITED STATES,UNITED STATES,38.499,166438.88,CO-00
1917,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,RACAFE & CIA S C A,RACAFE & CIA S C A,EDIYA CO LTD,EDIYA CO LTD,SOUTH KOREA,SOUTH KOREA,38.498,228733.12,CO-00
1918,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,OLAM,OLAM,ROASTING KOREA CO LTD,ROASTING KOREA CO LTD,SOUTH KOREA,SOUTH KOREA,38.497,161103.90000000002,CO-00
1919,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,SUCDEN COLOMBIA SAS,SUCDEN COLOMBIA SAS,ROTHFOS CORPORATION ORATIONN,ROTHFOS CORPORATION ORATIONN,CANADA,CANADA,38.496,204067.3,CO-00
1920,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,COMPAIA COL AGRICOLA SANMIGUEL S A S,COMPAIA COL AGRICOLA SANMIGUEL S A S,ROYAL COFFEE INC,ROYAL COFFEE INC,UNITED STATES,UNITED STATES,38.495999999999995,174104.0,CO-00
1921,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,OLAM,OLAM,COFFEE NARA KOREA CO LTDA,COFFEE NARA KOREA CO LTDA,SOUTH KOREA,SOUTH KOREA,38.495000000000005,225580.7,CO-00
1922,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,SKN CARIBECAFE LTD,SKN CARIBECAFE LTD,BERNHARD ROTHFOS INTERCAFE,BERNHARD ROTHFOS INTERCAFE,LATVIA,EUROPEAN UNION,38.495000000000005,189714.83,CO-00
1923,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,LOUIS DREYFUS CIA COL S A S,LOUIS DREYFUS,CAPE HORN COFFEES INC,CAPE HORN COFFEES INC,UNITED STATES,UNITED STATES,38.495000000000005,172291.19,CO-00
1924,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,SKN CARIBECAFE LTD,SKN CARIBECAFE LTD,MCC LOGISTICS LTD,MCC LOGISTICS LTD,SOUTH KOREA,SOUTH KOREA,38.495,218613.11,CO-00
1925,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,RACAFE & CIA S C A,RACAFE & CIA S C A,FALCON COFFEES LTD C O EBL COFFEE L A INC,FALCON COFFEES LTD C O EBL COFFEE L A INC,UNITED STATES,UNITED STATES,38.494,149367.91,CO-00
1926,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,RACAFE & CIA S C A,RACAFE & CIA S C A,PCR GENERAL TRADING LLC,PCR GENERAL TRADING LLC,UNITED ARAB EMIRATES,UNITED ARAB EMIRATES,38.493,223284.06,CO-00
1927,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,ALTAMIRA SUPREMO S A S,ALTAMIRA SUPREMO S A S,ECOM,ECOM,GERMANY,EUROPEAN UNION,38.492,208584.69,CO-00
1928,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,SUCDEN COLOMBIA SAS,SUCDEN COLOMBIA SAS,JOE GOURMET COFFEE LTD,JOE GOURMET COFFEE LTD,ISRAEL,ISRAEL,38.491,157313.82,CO-00
1929,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,ALTAMIRA SUPREMO S A S,ALTAMIRA SUPREMO S A S,COFFEE PLANET ROASTERY FZE,COFFEE PLANET ROASTERY FZE,UNITED ARAB EMIRATES,UNITED ARAB EMIRATES,38.491,216937.63,CO-00
1930,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,SOCIEDAD EXPORTADORA CAFE DE COOPERATIVAS DE CAFICULTORES SA,SOCIEDAD EXPORTADORA CAFE DE COOPERATIVAS DE CAFICULTORES SA,WALKER COFFEE TRADING,WALKER COFFEE TRADING,UNITED STATES,UNITED STATES,38.49,163430.68,CO-00
1931,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,ALTAMIRA SUPREMO S A S,ALTAMIRA SUPREMO S A S,UNITED COMMODITIES INC,UNITED COMMODITIES INC,SYRIA,SYRIA,38.488,165798.16,CO-00
1932,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,SOCIEDAD EXPORTADORA CAFE DE COOPERATIVAS DE CAFICULTORES SA,SOCIEDAD EXPORTADORA CAFE DE COOPERATIVAS DE CAFICULTORES SA,P GLOBAL SERVICES NV,P GLOBAL SERVICES NV,BELGIUM,EUROPEAN UNION,38.488,195326.18,CO-00
1933,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,S LAUMAYER Y CIA EXPORTADORES DE CAFE S A,S LAUMAYER Y CIA EXPORTADORES DE CAFE S A,KURUKAHVECI MEHMET EFENDI,KURUKAHVECI MEHMET EFENDI,TURKEY,TURKEY,38.486999999999995,152938.96,CO-00
1934,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,INVERCAFE CERRITOS S A S,INVERCAFE CERRITOS S A S,STC NJ,STC NJ,UNITED STATES,UNITED STATES,38.486999999999995,158310.22,CO-00
1935,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,S LAUMAYER Y CIA EXPORTADORES DE CAFE S A,S LAUMAYER Y CIA EXPORTADORES DE CAFE S A,DAESANG F&B CO LTD,DAESANG F&B CO LTD,SOUTH KOREA,SOUTH KOREA,38.486,228661.81,CO-00
1936,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,OLAM,OLAM,DESCAFEINADORES MEXICANOS SA DE CV,DESCAFEINADORES MEXICANOS SA DE CV,MEXICO,MEXICO,38.486,210903.28,CO-00
1937,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,RACAFE & CIA S C A,RACAFE & CIA S C A,ZEPHYR GREEN COFFEE LLC,ZEPHYR GREEN COFFEE LLC,CANADA,CANADA,38.485,203624.14,CO-00
1938,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,ECHEVERRI Y LOPEZ LTDA,ECHEVERRI Y LOPEZ LTDA,INTERCONTINENTAL COFFEE TRADING,INTERCONTINENTAL COFFEE TRADING,CANADA,CANADA,38.485,204179.27,CO-00
1939,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,RACAFE & CIA S C A,RACAFE & CIA S C A,RUTH COFFEE,RUTH COFFEE,ISRAEL,ISRAEL,38.484,198353.1,CO-00
1940,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,MASTERCOL TRADING SAS,MASTERCOL TRADING SAS,ELAND INC,ELAND INC,CANADA,CANADA,38.484,222430.89,CO-00
1941,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,DESCAFEINADORA COLOMBIANA S A S,DESCAFEINADORA COLOMBIANA S A S,SUCAFINA SA,SUCAFINA SA,UNITED STATES,UNITED STATES,38.481,212073.25,CO-00
1942,2021,COLOMBIA,,,UNKNOWN,UNKNOWN,SOCIEDAD EXPORTADORA CAFE DE COOPERATIVAS DE CAFICULTORES SA,SOCIEDAD EXPORTADORA CAFE DE COOPERATIVAS DE CAFICULTORES SA,CADECO INDS INC,CADECO INDS INC,UNITED STATES,UNITED STATES,38.479,194686.7,CO-00
