,year,biome,country_of_production,product_type,zero_deforestation_bolivia_soy,province_of_production,municipality_of_production,port_of_export,exporter_group,importer_group,country,economic_bloc,volume,co2_gross_emissions_soy_deforestation_5_year_total_exposure,land_use,soy_deforestation_5_year_total_exposure,province_of_production_trase_id,municipality_of_production_trase_id
5472,2021,CHIQUITANO DRY FORESTS,BOLIVIA,SOYBEAN OIL,{UNKNOWN},NUFLO DE CHAVEZ,SAN JULIAN,DESAGUADERO,BOLIVIANECOFOODS SRL,CORPORACION BELCEN SAC,PERU,PERU,3.1592645736834557,4.83456139336886,1.0342716900522293,0.0249742551157322,BO-0711,BO-071104
5473,2021,CHIQUITANO DRY FORESTS,BOLIVIA,SOYBEAN OIL,{UNKNOWN},NUFLO DE CHAVEZ,SAN JULIAN,DESAGUADERO,BOLIVIANECOFOODS SRL,CORPORACION BELCEN SAC,PERU,PERU,3.1592645736834557,4.83456139336886,1.0342716900522293,0.0249742551157322,BO-0711,BO-071104
5474,2021,CHIQUITANO DRY FORESTS,BOLIVIA,SOYBEAN OIL,{UNKNOWN},NUFLO DE CHAVEZ,SAN JULIAN,DESAGUADERO,BOLIVIANECOFOODS SRL,CORPORACION BELCEN SAC,PERU,PERU,3.1592645736834557,4.83456139336886,1.0342716900522293,0.0249742551157322,BO-0711,BO-071104
5475,2021,CHIQUITANO DRY FORESTS,BOLIVIA,SOYBEAN OIL,{UNKNOWN},NUFLO DE CHAVEZ,SAN JULIAN,DESAGUADERO,BOLIVIANECOFOODS SRL,CORPORACION BELCEN SAC,PERU,PERU,3.1592645736834557,4.83456139336886,1.0342716900522293,0.0249742551157322,BO-0711,BO-071104
5476,2021,CHIQUITANO DRY FORESTS,BOLIVIA,SOYBEAN OIL,{UNKNOWN},NUFLO DE CHAVEZ,SAN JULIAN,DESAGUADERO,BOLIVIANECOFOODS SRL,CORPORACION BELCEN SAC,PERU,PERU,3.1592645736834557,4.83456139336886,1.0342716900522293,0.0249742551157322,BO-0711,BO-071104
5477,2021,CHIQUITANO DRY FORESTS,BOLIVIA,SOYBEAN OIL,{UNKNOWN},NUFLO DE CHAVEZ,SAN JULIAN,DESAGUADERO,BOLIVIANECOFOODS SRL,CORPORACION BELCEN SAC,PERU,PERU,3.1592645736834557,4.83456139336886,1.0342716900522293,0.0249742551157322,BO-0711,BO-071104
5478,2021,SOUTHWEST AMAZON MOIST FORESTS,BOLIVIA,SOYBEAN OIL,{UNKNOWN},GUARAYOS,EL PUENTE,DESAGUADERO,BOLIVIANECOFOODS SRL,CORPORACION BELCEN SAC,PERU,PERU,3.1592645736834557,19.305634230366405,1.0342716900522284,0.0752989669507931,BO-0715,BO-071503
5479,2021,CHIQUITANO DRY FORESTS,BOLIVIA,SOYBEAN CAKE,{NONE},CHIQUITOS,PAILON,DESAGUADERO,INDUSTRIAS OLEAGINOSAS S.A.,LOCK HDM SRL,PERU,PERU,3.1537825482717823,26.222244730204267,1.0324769990552582,0.1017967742141801,BO-0705,BO-070502
5480,2021,SOUTHWEST AMAZON MOIST FORESTS,BOLIVIA,SOYBEAN CAKE,{UNKNOWN},ICHILO,YAPACANI,FRONTERA PISIGA,UNKNOWN,UNKNOWN,COLOMBIA,COLOMBIA,3.149914727264534,7.196379792618458,1.0312107620318356,0.0368286239396596,BO-0704,BO-070403
5481,2021,CHIQUITANO DRY FORESTS,BOLIVIA,SOYBEAN CAKE,{UNKNOWN},NUFLO DE CHAVEZ,SAN JULIAN,DESAGUADERO,CAINSA SRL,CENTRO DE ACOPIO & ALIMENTOS EL SALVADOR EIRL,PERU,PERU,3.128785748988503,4.787920238204804,1.0242936129419289,0.0247333174146292,BO-0711,BO-071104
