,year,biome,country_of_production,product_type,forest_500_soy,zero_deforestation_paraguay_soy,department,district_of_export,exporter,exporter_group,country_of_destination,economic_bloc,volume,fob,land_use,soy_deforestation_5_year_total_exposure,department_trase_id
505,2019,MATA ATLANTICA,PARAGUAY,SOYBEANS,3.0,"{""COMPANY COMMITMENT""}",CANINDEYU,VILLA DEL ROSARIO,COFCO INTERNATIONAL PARAGUAY SOCIEDAD ANONIMA,COFCO,ARGENTINA,ARGENTINA,3321.01,1081239.490113884,1485.8546296652694,15.110595500000002,PY-14
506,2019,MATA ATLANTICA,PARAGUAY,SOYBEANS,3.0,"{""COMPANY COMMITMENT""}",CANINDEYU,VILLA DEL ROSARIO,COFCO INTERNATIONAL PARAGUAY SOCIEDAD ANONIMA,COFCO,ARGENTINA,ARGENTINA,3321.01,1081239.490113884,1485.8546296652694,15.110595500000002,PY-14
507,2019,MATA ATLANTICA,PARAGUAY,SOYBEANS,3.0,"{""COMPANY COMMITMENT""}",CANINDEYU,VILLA DEL ROSARIO,COFCO INTERNATIONAL PARAGUAY SOCIEDAD ANONIMA,COFCO,ARGENTINA,ARGENTINA,3321.01,1081239.490113884,1485.8546296652694,15.110595500000002,PY-14
508,2019,MATA ATLANTICA,PARAGUAY,SOYBEANS,3.0,"{""COMPANY COMMITMENT""}",CANINDEYU,VILLA DEL ROSARIO,COFCO INTERNATIONAL PARAGUAY SOCIEDAD ANONIMA,COFCO,ARGENTINA,ARGENTINA,3321.01,1081239.490113884,1485.8546296652694,15.110595500000002,PY-14
509,2019,MATA ATLANTICA,PARAGUAY,SOYBEANS,3.0,"{""COMPANY COMMITMENT""}",CANINDEYU,VILLA DEL ROSARIO,COFCO INTERNATIONAL PARAGUAY SOCIEDAD ANONIMA,COFCO,ARGENTINA,ARGENTINA,3321.01,1081239.490113884,1485.8546296652694,15.110595500000002,PY-14
510,2019,MATA ATLANTICA,PARAGUAY,SOYBEANS,3.0,"{""COMPANY COMMITMENT""}",CANINDEYU,VILLA DEL ROSARIO,COFCO INTERNATIONAL PARAGUAY SOCIEDAD ANONIMA,COFCO,ARGENTINA,ARGENTINA,3321.01,1081239.490113884,1485.8546296652694,15.110595500000002,PY-14
511,2019,MATA ATLANTICA,PARAGUAY,SOYBEANS,3.0,"{""COMPANY COMMITMENT""}",ALTO PARANA,VILLA DEL ROSARIO,COFCO INTERNATIONAL PARAGUAY SOCIEDAD ANONIMA,COFCO,ARGENTINA,ARGENTINA,3321.01,1081239.490113884,1473.6006993004771,3.653111,PY-10
512,2019,MATA ATLANTICA,PARAGUAY,SOYBEANS,3.0,"{""COMPANY COMMITMENT""}",CANINDEYU,VILLA DEL ROSARIO,COFCO INTERNATIONAL PARAGUAY SOCIEDAD ANONIMA,COFCO,ARGENTINA,ARGENTINA,3321.01,1081239.490113884,1485.8546296652694,15.110595500000002,PY-14
513,2019,MATA ATLANTICA,PARAGUAY,SOYBEANS,3.0,"{""COMPANY COMMITMENT""}",CANINDEYU,VILLA DEL ROSARIO,COFCO INTERNATIONAL PARAGUAY SOCIEDAD ANONIMA,COFCO,ARGENTINA,ARGENTINA,3321.01,1081239.490113884,1485.8546296652694,15.110595500000002,PY-14
514,2019,MATA ATLANTICA,PARAGUAY,SOYBEANS,3.0,"{""COMPANY COMMITMENT""}",CANINDEYU,VILLA DEL ROSARIO,COFCO INTERNATIONAL PARAGUAY SOCIEDAD ANONIMA,COFCO,ARGENTINA,ARGENTINA,3321.01,1081239.490113884,1485.8546296652694,15.110595500000002,PY-14
515,2019,MATA ATLANTICA,PARAGUAY,SOYBEANS,3.0,"{""COMPANY COMMITMENT""}",CANINDEYU,VILLA DEL ROSARIO,COFCO INTERNATIONAL PARAGUAY SOCIEDAD ANONIMA,COFCO,ARGENTINA,ARGENTINA,3321.01,1081239.490113884,1485.8546296652694,15.110595500000002,PY-14
516,2019,MATA ATLANTICA,PARAGUAY,SOYBEANS,3.0,"{""COMPANY COMMITMENT""}",CANINDEYU,VILLA DEL ROSARIO,COFCO INTERNATIONAL PARAGUAY SOCIEDAD ANONIMA,COFCO,ARGENTINA,ARGENTINA,3321.01,1081239.490113884,1485.8546296652694,15.110595500000002,PY-14
517,2019,MATA ATLANTICA,PARAGUAY,SOYBEANS,,{NONE},ITAPUA,VILLETA,COMPANIA PARAGUAYA DE GRANOS,COMPANIA PARAGUAYA DE GRANOS,ARGENTINA,ARGENTINA,3300.55,1104908.7752609998,1256.9331090350097,4.620769999999999,PY-07
518,2019,MATA ATLANTICA,PARAGUAY,SOYBEAN RESIDUE,4.0,"{""COMPANY COMMITMENT""}",CAAZAPA,VILLETA,ADM PARAGUAY,ADM,URUGUAY,URUGUAY,3299.47,356393.0672883447,1352.2089103105109,16.002429499999998,PY-06
519,2019,MATA ATLANTICA,PARAGUAY,SOYBEAN CAKE,4.0,"{""COMPANY COMMITMENT""}",CAAGUAZU,VILLETA,ADM PARAGUAY,ADM,UNITED KINGDOM,EUROPEAN UNION,3284.34,901945.7343135626,1321.0680259291894,18.392304,PY-05
520,2019,MATA ATLANTICA,PARAGUAY,SOYBEAN CAKE,4.0,"{""COMPANY COMMITMENT""}",CAAZAPA,VILLETA,ADM PARAGUAY,ADM,MAURITIUS,MAURITIUS,3283.16,929232.822178499,1345.52464667812,15.923326,PY-06
521,2019,MATA ATLANTICA,PARAGUAY,SOYBEAN CAKE,4.0,"{""COMPANY COMMITMENT""}",CAAGUAZU,SAN LORENZO,BUNGE PARAGUAY SA,BUNGE,CHILE,CHILE,3268.6,1039088.0372922856,1314.7368876401797,18.304159999999996,PY-05
522,2019,MATA ATLANTICA,PARAGUAY,SOYBEAN CAKE,4.0,"{""COMPANY COMMITMENT""}",ITAPUA,VILLETA,ADM PARAGUAY,ADM,THAILAND,THAILAND,3251.79,941502.8931881156,1238.364064967643,4.552505999999999,PY-07
523,2019,MATA ATLANTICA,PARAGUAY,SOYBEANS,3.0,"{""COMPANY COMMITMENT""}",CANINDEYU,VILLA DEL ROSARIO,COFCO INTERNATIONAL PARAGUAY SOCIEDAD ANONIMA,COFCO,ARGENTINA,ARGENTINA,3203.25,1042899.9420345108,1433.1675732609276,14.5747875,PY-14
524,2019,MATA ATLANTICA,PARAGUAY,SOYBEAN OIL,4.0,"{""COMPANY COMMITMENT""}",CAAGUAZU,VILLETA,ADM PARAGUAY,ADM,ALGERIA,ALGERIA,3189.03,1862865.1353956673,1282.7312539898312,17.858567999999998,PY-05
525,2019,MATA ATLANTICA,PARAGUAY,SOYBEAN CAKE,4.0,"{""COMPANY COMMITMENT""}",CAAZAPA,VILLETA,ADM PARAGUAY,ADM,UNITED KINGDOM,EUROPEAN UNION,3185.62,874835.7772472028,1305.5502092346253,15.450257,PY-06
526,2019,MATA ATLANTICA,PARAGUAY,SOYBEAN CAKE,4.0,"{""COMPANY COMMITMENT""}",GUAIRA,VILLETA,ADM PARAGUAY,ADM,NETHERLANDS,EUROPEAN UNION,3121.0,892804.0612331063,1232.068808837941,30.42975,PY-04
527,2019,MATA ATLANTICA,PARAGUAY,SOYBEAN CAKE,3.0,"{""COMPANY COMMITMENT""}",ALTO PARANA,ASUNCION,CARGILL AGROPECUARIA SACI,CARGILL,CHILE,CHILE,3117.25,1028611.173479462,1383.1881806722688,3.4289750000000003,PY-10
